GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US42003,42003,"Allegheny County, Pennsylvania",0500000US42003,42003,Allegheny County,Allegheny County,1223348,589201,744.52,14.45,730.07,1675.6,807.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200300724,4200300724,Allegheny County - COUNTY SUBDIVISION AND PLACE - Aleppo township,Aleppo township,1916,1158,1.77,0.00,1.77,1081.4,653.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030072499999,420030072499999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Aleppo township - Aleppo township,Aleppo township,1916,1158,1.77,0.00,1.77,1081.4,653.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200303320,4200303320,Allegheny County - COUNTY SUBDIVISION AND PLACE - Aspinwall borough,Aspinwall borough,2801,1497,0.38,0.03,0.35,7997.9,4274.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030332003320,420030332003320,Allegheny County - COUNTY SUBDIVISION AND PLACE - Aspinwall borough - Aspinwall borough,Aspinwall borough,2801,1497,0.38,0.03,0.35,7997.9,4274.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200303608,4200303608,Allegheny County - COUNTY SUBDIVISION AND PLACE - Avalon borough,Avalon borough,4705,2729,0.69,0.07,0.62,7629.8,4425.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030360803608,420030360803608,Allegheny County - COUNTY SUBDIVISION AND PLACE - Avalon borough - Avalon borough,Avalon borough,4705,2729,0.69,0.07,0.62,7629.8,4425.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200303928,4200303928,Allegheny County - COUNTY SUBDIVISION AND PLACE - Baldwin borough,Baldwin borough,19767,9335,5.89,0.11,5.78,3418.1,1614.2
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030392803928,420030392803928,Allegheny County - COUNTY SUBDIVISION AND PLACE - Baldwin borough - Baldwin borough,Baldwin borough,19767,9335,5.89,0.11,5.78,3418.1,1614.2
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200303932,4200303932,Allegheny County - COUNTY SUBDIVISION AND PLACE - Baldwin township,Baldwin township,1992,881,0.51,0.00,0.51,3935.1,1740.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420030393299999,420030393299999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Baldwin township - Baldwin township,Baldwin township,1992,881,0.51,0.00,0.51,3935.1,1740.4
