nghd,units_per_acre_residential
Allegheny Center,21.13
Allegheny West,7.42
Allentown,11.11
Arlington,5.98
Arlington Heights,3.10
Banksville,4.32
Bedford Dwellings,10.82
Beechview,7.02
Beltzhoover,6.01
Bloomfield,14.44
Bluff,6.73
Bon Air,4.42
Brighton Heights,8.01
Brookline,6.34
California-Kirkbride,7.06
Carrick,6.75
Central Business District,25.19
Central Lawrenceville,15.31
Central Northside,16.60
Central Oakland,26.75
Chartiers City,3.77
Chateau,0.05
Crafton Heights,5.03
Crawford-Roberts,9.08
Duquesne Heights,8.94
East Allegheny,17.57
East Carnegie,2.12
East Hills,4.74
East Liberty,11.47
Elliott,8.02
Esplen,3.13
Fairywood,2.28
Fineview,9.57
Friendship,18.23
Garfield,7.22
Glen Hazel,3.78
Greenfield,9.66
Hays,0.73
Hazelwood,6.12
Highland Park,9.82
Homewood North,7.04
Homewood South,7.11
Homewood West,6.35
Knoxville,9.76
Larimer,5.31
Lincoln Place,3.06
Lincoln-Lemington-Belmar,5.87
Lower Lawrenceville,11.06
Manchester,9.23
Marshall-Shadeland,6.12
Middle Hill,6.05
Morningside,10.02
Mount Washington,11.60
Mt. Oliver,4.17
New Homestead,1.26
North Oakland,31.13
North Shore,4.94
Northview Heights,6.60
Oakwood,4.67
Overbrook,4.02
Perry North,6.35
Perry South,10.42
Point Breeze,6.32
Point Breeze North,9.09
Polish Hill,12.65
Regent Square,8.58
Ridgemont,1.83
Shadyside,16.09
Sheraden,9.55
South Oakland,12.99
South Shore,0.47
South Side Flats,14.99
South Side Slopes,14.71
Spring Garden,7.49
Spring Hill-City View,7.83
Squirrel Hill North,6.25
Squirrel Hill South,8.45
St. Clair,2.04
Stanton Heights,6.18
Strip District,5.46
Summer Hill,3.14
Swisshelm Park,3.06
Terrace Village,11.30
Troy Hill,12.64
Upper Hill,7.82
Upper Lawrenceville,12.51
West End,4.81
West Oakland,17.26
Westwood,4.29
Windgap,3.82
